task,family,width,d,seed,split,cell,accuracy,source
mqar,mamba2,16,3,123,validation,16,64.61875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d3.json
mqar,mamba2,16,3,123,validation,32,45.24375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d3.json
mqar,mamba2,16,3,123,validation,64,28.1984375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d3.json
mqar,mamba2,16,4,123,validation,macro,44.666250000000005,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d4.json
mqar,mamba2,16,4,123,validation,4,83.95,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d4.json
mqar,mamba2,16,4,123,validation,8,67.03750000000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d4.json
mqar,mamba2,16,4,123,validation,16,47.3125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d4.json
mqar,mamba2,16,4,123,validation,32,21.087500000000002,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d4.json
mqar,mamba2,16,4,123,validation,64,3.94375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d4.json
mqar,mamba2,32,1,123,validation,macro,77.243125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d1.json
mqar,mamba2,32,1,123,validation,4,99.45,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d1.json
mqar,mamba2,32,1,123,validation,8,98.6125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d1.json
mqar,mamba2,32,1,123,validation,16,93.7,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d1.json
mqar,mamba2,32,1,123,validation,32,68.459375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d1.json
mqar,mamba2,32,1,123,validation,64,25.99375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d1.json
mqar,mamba2,32,2,123,validation,macro,75.68468750000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d2.json
mqar,mamba2,32,2,123,validation,4,99.97500000000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d2.json
mqar,mamba2,32,2,123,validation,8,99.65,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d2.json
mqar,mamba2,32,2,123,validation,16,90.64375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d2.json
mqar,mamba2,32,2,123,validation,32,48.55625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d2.json
mqar,mamba2,32,2,123,validation,64,39.5984375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d2.json
mqar,mamba2,32,3,123,validation,macro,83.9890625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d3.json
mqar,mamba2,32,3,123,validation,4,99.5,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d3.json
mqar,mamba2,32,3,123,validation,8,98.2625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d3.json
mqar,mamba2,32,3,123,validation,16,87.41875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d3.json
mqar,mamba2,32,3,123,validation,32,66.65625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d3.json
mqar,mamba2,32,3,123,validation,64,68.1078125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d3.json
mqar,mamba2,32,4,123,validation,macro,84.218125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d4.json
mqar,mamba2,32,4,123,validation,4,99.25,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d4.json
mqar,mamba2,32,4,123,validation,8,98.1125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d4.json
mqar,mamba2,32,4,123,validation,16,88.78125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d4.json
mqar,mamba2,32,4,123,validation,32,78.61875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d4.json
mqar,mamba2,32,4,123,validation,64,56.32812499999999,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w32-d4.json
mqar,mamba2,64,1,123,validation,macro,83.91999999999999,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d1.json
mqar,mamba2,64,1,123,validation,4,99.85000000000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d1.json
mqar,mamba2,64,1,123,validation,8,99.08749999999999,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d1.json
mqar,mamba2,64,1,123,validation,16,95.26875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d1.json
mqar,mamba2,64,1,123,validation,32,81.0125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d1.json
mqar,mamba2,64,1,123,validation,64,44.38125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d1.json
mqar,mamba2,64,2,123,validation,macro,90.51375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d2.json
mqar,mamba2,64,2,123,validation,4,99.775,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d2.json
mqar,mamba2,64,2,123,validation,8,99.625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d2.json
mqar,mamba2,64,2,123,validation,16,92.95,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d2.json
mqar,mamba2,64,2,123,validation,32,79.49374999999999,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d2.json
mqar,mamba2,64,2,123,validation,64,80.72500000000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d2.json
mqar,mamba2,64,3,123,validation,macro,90.0965625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d3.json
mqar,mamba2,64,3,123,validation,4,99.9,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d3.json
mqar,mamba2,64,3,123,validation,8,99.5625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d3.json
mqar,mamba2,64,3,123,validation,16,92.5125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d3.json
mqar,mamba2,64,3,123,validation,32,84.078125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d3.json
mqar,mamba2,64,3,123,validation,64,74.4296875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d3.json
mqar,mamba2,64,4,123,validation,macro,93.0165625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d4.json
mqar,mamba2,64,4,123,validation,4,99.8,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d4.json
mqar,mamba2,64,4,123,validation,8,99.5375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d4.json
mqar,mamba2,64,4,123,validation,16,92.875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d4.json
mqar,mamba2,64,4,123,validation,32,87.459375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d4.json
mqar,mamba2,64,4,123,validation,64,85.41093749999999,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w64-d4.json
joint,mamba2,64,1,123,validation,macro,47.548886718750005,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,validation,c1-k4,99.1,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,validation,c2-k8,81.83749999999999,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,validation,c8-k16,25.31171875,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,validation,c16-k16,17.78515625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,validation,c32-k16,13.710058593749999,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,test,macro,47.589335937499996,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,test,c1-k4,98.83125,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,test,c2-k8,82.19375,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,test,c8-k16,25.348828125,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,test,c16-k16,17.83232421875,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,1,123,test,c32-k16,13.740527343750001,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d1-w64-s123/result.json
joint,mamba2,64,2,123,validation,macro,50.593378906249995,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,validation,c1-k4,99.875,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,validation,c2-k8,93.00625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,validation,c8-k16,27.2640625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,validation,c16-k16,19.4994140625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,validation,c32-k16,13.322167968750001,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,test,macro,50.59555664062499,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,test,c1-k4,99.8625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,test,c2-k8,93.065625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,test,c8-k16,27.206835937500003,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,test,c16-k16,19.428124999999998,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,2,123,test,c32-k16,13.414697265625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d2-w64-s123/result.json
joint,mamba2,64,3,123,validation,macro,58.479394531249994,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,validation,c1-k4,99.825,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,validation,c2-k8,95.2625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,validation,c8-k16,50.4421875,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,validation,c16-k16,25.3669921875,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,validation,c32-k16,21.500292968750003,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,test,macro,58.46759765624999,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,test,c1-k4,99.85000000000001,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,test,c2-k8,95.021875,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,test,c8-k16,50.5333984375,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,test,c16-k16,25.40517578125,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
joint,mamba2,64,3,123,test,c32-k16,21.5275390625,/u/archerdw/smat_attention/deltaai/results/joint_recall_iterations/explicit_context_capacity512/shared-mamba2-d3-w64-s123/result.json
