d,T,phase,ms
2,262144,pool by profile ($S^T$),0.5364480018615723
2,4096,incidence ($C$),0.10636799782514572
2,8192,incidence ($C$),0.08515200018882751
2,16384,incidence ($C$),0.07916799932718277
2,32768,incidence ($C$),0.0549440011382103
2,65536,incidence ($C$),0.04745600000023842
2,131072,incidence ($C$),0.06406400352716446
2,262144,incidence ($C$),0.08777599781751633
2,4096,type-major GEMM ($R$),0.23651200532913208
2,8192,type-major GEMM ($R$),0.26627200841903687
2,16384,type-major GEMM ($R$),0.30723199248313904
2,32768,type-major GEMM ($R$),0.45100799202919006
2,65536,type-major GEMM ($R$),0.9528319835662842
2,131072,type-major GEMM ($R$),1.423359990119934
2,262144,type-major GEMM ($R$),2.9268479347229004
2,4096,normalise,0.0719040036201477
2,8192,normalise,0.06364800035953522
2,16384,normalise,0.11980800330638885
2,32768,normalise,0.22009600698947906
2,65536,normalise,0.4243839979171753
2,131072,normalise,0.8340479731559753
2,262144,normalise,1.6506240367889404
3,4096,causal scan,0.21958400309085846
3,8192,causal scan,0.24860799312591553
3,16384,causal scan,0.49088001251220703
3,32768,causal scan,0.96288001537323
3,65536,causal scan,1.8994239568710327
3,131072,causal scan,3.7467520236968994
3,262144,causal scan,7.484831809997559
3,4096,pool by profile ($S^T$),0.11001600325107574
3,8192,pool by profile ($S^T$),0.12169600278139114
3,16384,pool by profile ($S^T$),0.14979200065135956
3,32768,pool by profile ($S^T$),0.23472000658512115
3,65536,pool by profile ($S^T$),0.3370879888534546
3,131072,pool by profile ($S^T$),0.4573119878768921
3,262144,pool by profile ($S^T$),0.7322239875793457
3,4096,incidence ($C$),0.320607990026474
3,8192,incidence ($C$),0.8190400004386902
3,16384,incidence ($C$),1.3969600200653076
3,32768,incidence ($C$),2.2031679153442383
3,65536,incidence ($C$),5.206272125244141
3,131072,incidence ($C$),6.4896321296691895
3,262144,incidence ($C$),14.646495819091797
3,4096,type-major GEMM ($R$),0.13657599687576294
3,8192,type-major GEMM ($R$),0.21296000480651855
3,16384,type-major GEMM ($R$),0.472351998090744
3,32768,type-major GEMM ($R$),1.3417279720306396
3,65536,type-major GEMM ($R$),1.9759680032730103
3,131072,type-major GEMM ($R$),2.6071360111236572
3,262144,type-major GEMM ($R$),5.300352096557617
3,4096,normalise,0.07401599735021591
3,8192,normalise,0.0628800019621849
3,16384,normalise,0.11945600062608719
3,32768,normalise,0.21939200162887573
3,65536,normalise,0.42127999663352966
3,131072,normalise,0.8276479840278625
3,262144,normalise,1.6385600566864014
4,4096,causal scan,0.13062399625778198
4,8192,causal scan,0.24694399535655975
4,16384,causal scan,0.4917120039463043
4,32768,causal scan,0.9637759923934937
4,65536,causal scan,1.8999680280685425
4,131072,causal scan,3.7415359020233154
4,262144,causal scan,7.428383827209473
4,4096,pool by profile ($S^T$),0.1228799968957901
4,8192,pool by profile ($S^T$),0.22620800137519836
4,16384,pool by profile ($S^T$),0.2396479994058609
4,32768,pool by profile ($S^T$),0.3463039994239807
4,65536,pool by profile ($S^T$),0.6710720062255859
4,131072,pool by profile ($S^T$),0.7204160094261169
4,262144,pool by profile ($S^T$),1.6173759698867798
4,4096,incidence ($C$),2.0643200874328613
4,8192,incidence ($C$),14.417280197143555
4,16384,incidence ($C$),14.417535781860352
4,32768,incidence ($C$),32.19152069091797
4,65536,incidence ($C$),121.49241638183594
4,131072,incidence ($C$),122.37104034423828
4,262144,incidence ($C$),533.1647338867188
4,4096,type-major GEMM ($R$),0.1499519944190979
4,8192,type-major GEMM ($R$),0.6367040276527405
4,16384,type-major GEMM ($R$),0.6671040058135986
4,32768,type-major GEMM ($R$),1.426144003868103
4,65536,type-major GEMM ($R$),2.0406079292297363
4,131072,type-major GEMM ($R$),3.3624958992004395
4,262144,type-major GEMM ($R$),6.668191909790039
4,4096,normalise,0.03190400078892708
4,8192,normalise,0.062111999839544296
4,16384,normalise,0.1189119964838028
4,32768,normalise,0.22006399929523468
4,65536,normalise,0.4204480051994324
4,131072,normalise,0.8266239762306213
4,262144,normalise,1.6345280408859253
