-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    ChunkGatedDeltaRuleFunctionBackward         4.88%      30.003ms         6.36%      39.069ms       1.221ms      15.480ms         2.83%      16.456ms     514.254us            32  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.462ms         2.65%      14.462ms      36.066us           401  
                                             aten::topk         0.16%     974.806us         0.39%       2.390ms     149.362us      14.390ms         2.63%      14.390ms     899.391us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.802ms         2.53%      13.802ms      30.535us           452  
                                        SMAT_write_hash         0.00%       0.000us         0.00%       0.000us       0.000us      12.898ms         2.36%      12.898ms     806.127us            16  
sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      12.719ms         2.33%      12.719ms     158.994us            80  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.107ms         2.22%      12.107ms     756.715us            16  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.939ms         2.19%      11.939ms     746.187us            16  
                                       SMAT_group_reads         0.00%       0.000us         0.00%       0.000us       0.000us      10.157ms         1.86%      10.157ms     634.815us            16  
                                              aten::sum         0.79%       4.876ms         1.16%       7.149ms      13.908us       9.782ms         1.79%       9.782ms      19.030us           514  
         nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_NNT         0.00%       0.000us         0.00%       0.000us       0.000us       9.285ms         1.70%       9.285ms     116.060us            80  
                       aten::_log_softmax_backward_data         0.01%      54.498us         0.01%      84.720us      10.590us       8.978ms         1.64%       8.978ms       1.122ms             8  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       8.978ms         1.64%       8.978ms       1.122ms             8  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.570ms         1.57%       8.570ms     267.806us            32  
                             aten::convolution_backward         0.08%     502.895us         0.18%       1.084ms      67.766us       8.375ms         1.53%      12.784ms     798.989us            16  
         nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       8.017ms         1.47%       8.017ms     501.071us            16  
         nvjet_sm90_tst_128x192_64x5_4x2_h_bz_coopB_NTN         0.00%       0.000us         0.00%       0.000us       0.000us       7.812ms         1.43%       7.812ms     488.220us            16  
                                            aten::fill_         0.38%       2.318ms         0.81%       4.994ms       6.495us       6.837ms         1.25%       6.837ms       8.891us           769  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.558ms         1.20%       6.558ms      10.698us           613  
       chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us       6.391ms         1.17%       6.391ms     199.729us            32  
                                              aten::add         0.67%       4.115ms         0.99%       6.109ms      10.460us       6.372ms         1.17%       6.372ms      10.910us           584  
                                              SMAT_read         0.00%       0.000us         0.00%       0.000us       0.000us       5.915ms         1.08%       5.915ms     369.690us            16  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us       5.835ms         1.07%       5.835ms      91.166us            64  
                                              aten::div         0.72%       4.437ms         0.96%       5.881ms      14.036us       5.812ms         1.06%       5.812ms      13.871us           419  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.777ms         1.06%       5.777ms      21.161us           273  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.682ms         1.04%       5.682ms      35.513us           160  
                                aten::_conv_depthwise2d         0.02%      94.300us         0.04%     267.605us      16.725us       5.525ms         1.01%       5.525ms     345.312us            16  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       5.525ms         1.01%       5.525ms     345.312us            16  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.344ms         0.98%       5.344ms     166.991us            32  
                            ChunkGatedDeltaRuleFunction         3.45%      21.191ms         5.52%      33.915ms       1.060ms       5.138ms         0.94%       6.404ms     200.115us            32  
sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us       5.026ms         0.92%       5.026ms     157.056us            32  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       4.905ms         0.90%       4.905ms     306.542us            16  
                                    aten::silu_backward         0.02%     126.252us         0.03%     192.037us      12.002us       4.785ms         0.88%       4.785ms     299.078us            16  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.785ms         0.88%       4.785ms     299.078us            16  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us       4.718ms         0.86%       4.718ms      73.724us            64  
                                            SMAT_branch         0.00%       0.000us         0.00%       0.000us       0.000us       4.654ms         0.85%       4.654ms     290.858us            16  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.612ms         0.84%       4.612ms      14.191us           325  
                                              aten::cat         0.28%       1.698ms         0.44%       2.714ms      15.332us       4.609ms         0.84%       4.609ms      26.042us           177  
void at::native::mbtopk::computeBlockDigitCounts<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       4.454ms         0.82%       4.454ms      69.597us            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.432ms         0.81%       4.432ms     138.512us            32  
                                 aten::_index_put_impl_         0.55%       3.397ms        33.57%     206.346ms       1.075ms       4.236ms         0.78%       5.327ms      27.747us           192  
         nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       4.235ms         0.78%       4.235ms     132.353us            32  
         nvjet_sm90_tst_192x192_64x3_1x2_h_bz_coopB_NNN         0.00%       0.000us         0.00%       0.000us       0.000us       4.215ms         0.77%       4.215ms     263.446us            16  
                                             aten::silu         0.03%     165.313us         0.04%     237.688us      14.855us       4.171ms         0.76%       4.171ms     260.696us            16  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.171ms         0.76%       4.171ms     260.696us            16  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       4.017ms         0.74%       4.017ms      41.415us            97  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.015ms         0.73%       4.015ms     250.962us            16  
         nvjet_sm90_tst_192x128_64x5_1x4_h_bz_coopB_NTT         0.00%       0.000us         0.00%       0.000us       0.000us       3.941ms         0.72%       3.941ms     246.284us            16  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       3.470ms         0.64%       3.470ms     216.864us            16  
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us       3.462ms         0.63%       3.462ms       7.336us           472  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.347ms         0.61%       3.347ms       9.872us           339  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.279ms         0.60%       3.279ms      20.363us           161  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.070ms         0.56%       3.070ms       9.137us           336  
                                              aten::pow         0.25%       1.538ms         0.41%       2.530ms      21.996us       2.962ms         0.54%       5.932ms      51.585us           115  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.905ms         0.53%       2.905ms      59.280us            49  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.860ms         0.52%       2.860ms     178.756us            16  
                                            aten::index         0.49%       3.027ms         2.11%      12.942ms      53.924us       2.802ms         0.51%       3.560ms      14.831us           240  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.681ms         0.49%       2.681ms      54.717us            49  
         nvjet_sm90_tst_64x64_64x13_2x1_v_bz_splitK_NTT         0.00%       0.000us         0.00%       0.000us       0.000us       2.612ms         0.48%       2.612ms      32.650us            80  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us       2.525ms         0.46%       2.525ms       2.525ms             1  
                                 chunk_bwd_kernel_dqkwg         0.00%       0.000us         0.00%       0.000us       0.000us       2.494ms         0.46%       2.494ms      77.952us            32  
at::native::mbtopk::computeDigitCumSum(short*, unsig...         0.00%       0.000us         0.00%       0.000us       0.000us       2.482ms         0.45%       2.482ms      38.777us            64  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 614.646ms
Self CUDA time total: 546.353ms
