step  4850  loss 2.2808  bpc 3.291  gn 0.61  19 ms/step
step  4900  loss 2.2549  bpc 3.253  gn 0.69  19 ms/step
step  4950  loss 2.1766  bpc 3.140  gn 0.61  19 ms/step
step  5000  loss 2.1946  bpc 3.166  gn 0.76  19 ms/step
step  5050  loss 2.0983  bpc 3.027  gn 0.73  19 ms/step
step  5100  loss 2.2309  bpc 3.219  gn 0.66  19 ms/step
step  5150  loss 2.1242  bpc 3.065  gn 0.64  19 ms/step
step  5200  loss 2.2080  bpc 3.185  gn 0.71  19 ms/step
step  5250  loss 2.1139  bpc 3.050  gn 0.78  19 ms/step
step  5300  loss 2.0809  bpc 3.002  gn 0.69  19 ms/step
step  5350  loss 2.1059  bpc 3.038  gn 0.66  19 ms/step
step  5400  loss 2.1433  bpc 3.092  gn 1.00  19 ms/step
step  5450  loss 2.2357  bpc 3.225  gn 0.80  19 ms/step
step  5500  loss 2.2514  bpc 3.248  gn 0.67  19 ms/step
step  5550  loss 2.2058  bpc 3.182  gn 0.76  19 ms/step
step  5600  loss 2.1701  bpc 3.131  gn 0.97  19 ms/step
step  5650  loss 2.2310  bpc 3.219  gn 0.79  19 ms/step
step  5700  loss 2.0705  bpc 2.987  gn 0.77  19 ms/step
step  5750  loss 2.1760  bpc 3.139  gn 0.86  19 ms/step
step  5800  loss 2.1736  bpc 3.136  gn 0.73  19 ms/step
step  5850  loss 2.1391  bpc 3.086  gn 0.76  19 ms/step
step  5900  loss 2.1063  bpc 3.039  gn 0.77  19 ms/step
step  5950  loss 2.1605  bpc 3.117  gn 0.80  19 ms/step
step  6000  loss 2.1829  bpc 3.149  gn 0.78  19 ms/step
step  6050  loss 2.0792  bpc 3.000  gn 0.87  19 ms/step
step  6100  loss 2.2636  bpc 3.266  gn 0.79  19 ms/step
step  6150  loss 2.2088  bpc 3.187  gn 0.96  19 ms/step
step  6200  loss 2.1861  bpc 3.154  gn 0.76  19 ms/step
step  6250  loss 1.9985  bpc 2.883  gn 0.86  19 ms/step
step  6300  loss 2.0620  bpc 2.975  gn 0.68  19 ms/step
step  6350  loss 2.0807  bpc 3.002  gn 0.83  19 ms/step
step  6400  loss 2.1258  bpc 3.067  gn 0.82  19 ms/step
step  6450  loss 2.0964  bpc 3.024  gn 1.00  19 ms/step
step  6500  loss 2.0163  bpc 2.909  gn 0.77  19 ms/step
step  6550  loss 2.1637  bpc 3.122  gn 0.79  19 ms/step
step  6600  loss 2.1515  bpc 3.104  gn 0.81  19 ms/step
step  6650  loss 2.0735  bpc 2.991  gn 1.01  19 ms/step
step  6700  loss 2.0787  bpc 2.999  gn 0.71  19 ms/step
step  6750  loss 2.0995  bpc 3.029  gn 0.98  19 ms/step
step  6800  loss 1.9846  bpc 2.863  gn 0.72  19 ms/step
step  6850  loss 2.0199  bpc 2.914  gn 0.88  19 ms/step
step  6900  loss 1.9543  bpc 2.819  gn 0.79  19 ms/step
step  6950  loss 2.0361  bpc 2.938  gn 0.90  19 ms/step
step  7000  loss 2.1351  bpc 3.080  gn 0.93  19 ms/step
step  7050  loss 2.0663  bpc 2.981  gn 1.09  19 ms/step
step  7100  loss 2.0920  bpc 3.018  gn 0.94  19 ms/step
step  7150  loss 2.0831  bpc 3.005  gn 1.29  19 ms/step
step  7200  loss 2.1380  bpc 3.085  gn 0.89  19 ms/step
step  7250  loss 2.0588  bpc 2.970  gn 0.99  19 ms/step
step  7300  loss 2.0719  bpc 2.989  gn 0.99  19 ms/step
step  7350  loss 2.0038  bpc 2.891  gn 0.97  19 ms/step
step  7400  loss 2.0510  bpc 2.959  gn 0.96  19 ms/step
step  7450  loss 1.9909  bpc 2.872  gn 1.32  19 ms/step
step  7500  loss 1.9609  bpc 2.829  gn 0.95  19 ms/step
step  7550  loss 2.0785  bpc 2.999  gn 1.24  19 ms/step
step  7600  loss 2.0215  bpc 2.916  gn 1.18  19 ms/step
step  7650  loss 2.0506  bpc 2.958  gn 1.07  19 ms/step
