arm,k,seed,steps,rows_mode,loss_final,loss_best,loss_q25,loss_q50,loss_q75,loss_tail_slope,nmse,nmse_answerable,nmse_unanswerable,exact_support_frac,leak_rel,leak_max,influence_mean,influence_max,influence_zero_frac,train_seconds,T,d,cols,source,ceiling_answerable,n_patterns
softmax,4,1,1500,mask,0.24662543833255768,0.1350272297859192,0.35457414388656616,0.2623867094516754,0.2406322956085205,-0.0003060070288902569,0.2939460575580597,0.19227954745292664,0.33183249831199646,0.140625,0.04763362929224968,1.0242563486099243,0.027148380875587463,1.6055943965911865,0.89453125,10.707557925954461,1024,0,513 399 18 5,witness+greedy,0.3125,5
softmax,4,2,1500,mask,0.2819763720035553,0.16306541860103607,0.3273472189903259,0.29338881373405457,0.3243712782859802,-9.199018956999506e-05,0.31600549817085266,0.23689213395118713,0.3578057289123535,0.19140625,0.0581321120262146,1.388708233833313,0.0541420616209507,2.0170655250549316,0.880859375,11.282591994851828,1024,0,513 399 18 5,witness+greedy,0.3125,5
softmax_content,4,0,1500,last,0.0018549755914136767,0.0012037709821015596,0.20562657713890076,0.02276170253753662,0.001764194923453033,-0.0005533829240761702,0.002141369041055441,0.0029894120525568724,0.0016575164627283812,0.140625,0.033777929842472076,0.09278356283903122,0.05263316258788109,0.23937568068504333,0.076171875,12.90017269551754,1024,0,513 399 18 5,witness+greedy,0.3125,5
softmax_content,4,1,1500,last,0.002869236748665571,0.0017998686525970697,0.22499844431877136,0.07078087329864502,0.003269956912845373,3.5946458914476364e-05,0.0029685196932405233,0.0034428546205163,0.002791756996884942,0.095703125,0.04630547761917114,0.11612388491630554,0.064482681453228,0.26994338631629944,0.046875,12.892030039802194,1024,0,513 399 18 5,witness+greedy,0.3125,5
softmax_content,4,2,1500,last,0.001989728771150112,0.0014901787508279085,0.1121751219034195,0.0217365100979805,0.0036829335149377584,-0.0002377163301627964,0.0030912572983652353,0.00399097939953208,0.002615882083773613,0.1484375,0.03759180009365082,0.10773424804210663,0.06336855888366699,0.7619222402572632,0.072265625,12.706803347915411,1024,0,513 399 18 5,witness+greedy,0.3125,5
smat,5,0,1500,mask,0.15751032531261444,0.1173500344157219,0.2565949857234955,0.23120395839214325,0.1329876035451889,-7.40969531051635e-05,0.2087608277797699,0.025819705799221992,0.24830393493175507,0.130859375,0.13019493222236633,0.828980028629303,0.17740941047668457,3.6098406314849854,0.701171875,21.68098985031247,1024,1,513 425 365 341 470,witness+greedy,0.1875,6
smat,5,1,1500,mask,0.20147819817066193,0.10843125730752945,0.20170965790748596,0.19373498857021332,0.1842537522315979,-0.0007574975972122557,0.18748588860034943,0.02322966977953911,0.22346584498882294,0.154296875,0.1172599047422409,0.83146071434021,0.16939182579517365,1.6204653978347778,0.685546875,21.92651023901999,1024,1,513 425 365 341 470,witness+greedy,0.1875,6
smat,5,2,1500,mask,0.18658871948719025,0.11602143198251724,0.2540135681629181,0.17802521586418152,0.17049510776996613,0.0003061880298701407,0.19899994134902954,0.031648386269807816,0.23712560534477234,0.154296875,0.12173005193471909,0.8365908861160278,0.16581754386425018,2.161242723464966,0.701171875,22.10682856477797,1024,1,513 425 365 341 470,witness+greedy,0.1875,6
smat_content,5,0,1500,mask,0.14442956447601318,0.06649952381849289,0.2442028522491455,0.18671630322933197,0.08161815255880356,-0.0003444109818356035,0.16476470232009888,0.005832276772707701,0.19911828637123108,0.216796875,0.03567015007138252,0.3794172704219818,0.04379607364535332,0.8501237034797668,0.701171875,24.163102811202407,1024,1,513 425 365 341 470,witness+greedy,0.1875,6
smat_content,5,1,1500,mask,0.15441064536571503,0.0777423232793808,0.17883601784706116,0.1453315019607544,0.16711531579494476,-0.0009865972887284637,0.14960941672325134,0.011299652978777885,0.17990583181381226,0.1796875,0.03883298859000206,0.4820202589035034,0.05725722759962082,0.9986871480941772,0.685546875,23.617653220891953,1024,1,513 425 365 341 470,witness+greedy,0.1875,6
smat_content,5,2,1500,mask,0.14175203442573547,0.07339046150445938,0.20464006066322327,0.12172549217939377,0.12372243404388428,0.0003410559437587182,0.15226835012435913,0.007816805504262447,0.18517696857452393,0.20703125,0.03730344772338867,0.46420809626579285,0.04471657797694206,1.105001449584961,0.701171875,23.681976595893502,1024,1,513 425 365 341 470,witness+greedy,0.1875,6
softmax,5,0,1500,mask,0.2692525088787079,0.18455512821674347,0.29261118173599243,0.31274643540382385,0.2780301570892334,-0.00017876548486493789,0.31499576568603516,0.24239760637283325,0.3306880295276642,0.076171875,0.056535497307777405,0.9257672429084778,0.04799738898873329,3.8150811195373535,0.8515625,10.921751217916608,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
softmax,5,1,1500,mask,0.2874748408794403,0.18663983047008514,0.3083804249763489,0.314677357673645,0.27467042207717896,-0.0002978119446242262,0.3305363059043884,0.25886738300323486,0.3462352752685547,0.091796875,0.0592372752726078,0.9220237135887146,0.05243857577443123,1.9182329177856445,0.873046875,10.799821199849248,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
softmax,5,2,1500,mask,0.3012276589870453,0.17748074233531952,0.3514012396335602,0.3325912654399872,0.300970196723938,0.00019101762903565056,0.3302183151245117,0.2913077771663666,0.33908286690711975,0.06640625,0.06576655805110931,0.9243136048316956,0.05201990529894829,2.790565013885498,0.869140625,11.33642303571105,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
softmax_content,5,0,1500,last,0.011776457540690899,0.006461118347942829,0.17963461577892303,0.03317726030945778,0.011975674889981747,-0.0006924133786457428,0.011879118159413338,0.014699957333505154,0.01126938872039318,0.05078125,0.07889804244041443,0.2970643639564514,0.11654549837112427,0.7418376803398132,0.01953125,12.69399781897664,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
softmax_content,5,1,1500,last,0.011533491313457489,0.005095792468637228,0.12662620842456818,0.019625555723905563,0.011566132307052612,-0.00032424006434060424,0.00913413055241108,0.011283486150205135,0.008663319982588291,0.072265625,0.06874023377895355,0.28132179379463196,0.1010938435792923,1.2871851921081543,0.029296875,13.078393548727036,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
softmax_content,5,2,1500,last,0.011073355562984943,0.00848452653735876,0.1980069875717163,0.047184865921735764,0.012515793554484844,-0.0001618935830229145,0.01707301288843155,0.02082243002951145,0.016218828037381172,0.046875,0.08098956942558289,0.29125404357910156,0.12030448019504547,0.5949563384056091,0.03515625,12.376942103728652,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
smat,6,0,1500,mask,0.26588380336761475,0.12763400375843048,0.2369508594274521,0.19085773825645447,0.22333654761314392,-0.0002561170042991305,0.21712082624435425,0.022116392850875854,0.24154996871948242,0.107421875,0.13377416133880615,0.8812568783760071,0.1735432893037796,2.147522449493408,0.69140625,21.84560364484787,1024,1,513 403 156 131 171 6,witness+greedy,0.109375,7
