arm,k,seed,steps,rows_mode,loss_final,loss_best,loss_q25,loss_q50,loss_q75,loss_tail_slope,nmse,nmse_answerable,nmse_unanswerable,exact_support_frac,leak_rel,leak_max,influence_mean,influence_max,influence_zero_frac,train_seconds,T,d,cols,source,ceiling_answerable,n_patterns
mamba2,3,0,1500,mask,0.3294750452041626,0.11959956586360931,0.2944304347038269,0.28192269802093506,0.31804949045181274,0.0007325429556600041,0.2854863405227661,0.24637717008590698,0.3284422755241394,0.3984375,0.0019814656116068363,0.016314594075083733,0.0,0.0,1.0,31.149275420233607,1024,0,513 105 2,witness+greedy,0.5,4
mamba2,3,1,1500,mask,0.28393489122390747,0.13222011923789978,0.22921475768089294,0.305698037147522,0.21946537494659424,-0.0004992343525868706,0.28990697860717773,0.24364158511161804,0.3369010388851166,0.28125,0.0007496887119486928,0.005090989638119936,4.6470086090266705e-07,2.4134991690516472e-05,0.87109375,17.400718420743942,1024,0,513 105 2,witness+greedy,0.5,4
mamba2,3,2,1500,mask,0.31844574213027954,0.13859593868255615,0.3994947373867035,0.267032265663147,0.4104841947555542,0.00021285922947583688,0.3143644332885742,0.2947932183742523,0.33333349227905273,0.287109375,0.0020275285933166742,0.014892160892486572,2.6578103643259965e-05,0.0011432012543082237,0.876953125,21.362897699698806,1024,0,513 105 2,witness+greedy,0.5,4
deltanet,3,0,1500,mask,0.13628733158111572,0.044799938797950745,0.17789165675640106,0.13591930270195007,0.17023447155952454,0.0006943046704251124,0.13101768493652344,0.029619645327329636,0.24238929152488708,0.462890625,0.038418445736169815,0.49586236476898193,0.0581936351954937,3.062203884124756,0.865234375,46.8273991625756,1024,0,513 105 2,witness+greedy,0.5,4
deltanet,3,1,1500,mask,0.15044111013412476,0.047899238765239716,0.2020817995071411,0.14741183817386627,0.12694495916366577,-0.0005615055965506981,0.14267653226852417,0.018467947840690613,0.2688411474227905,0.490234375,0.04104454815387726,0.5451017022132874,0.05686265602707863,1.6914082765579224,0.87109375,46.58724939264357,1024,0,513 105 2,witness+greedy,0.5,4
deltanet,3,2,1500,mask,0.19275856018066406,0.047978609800338745,0.19964826107025146,0.12037581205368042,0.2171686887741089,0.0006721195469233541,0.14551854133605957,0.02528337389230728,0.2620541453361511,0.443359375,0.043409984558820724,0.5408717393875122,0.06847293674945831,4.51096248626709,0.876953125,47.492166409268975,1024,0,513 105 2,witness+greedy,0.5,4
mamba2,4,0,1500,mask,0.3314850926399231,0.1456608772277832,0.35454195737838745,0.2860373556613922,0.2558957040309906,-0.0008894836314152472,0.2939207851886749,0.2622469961643219,0.311992347240448,0.22265625,0.008273942396044731,0.08062068372964859,0.00022054227883927524,0.015263697132468224,0.845703125,34.37485200352967,1024,0,513 399 18 5,witness+greedy,0.3125,5
mamba2,4,1,1500,mask,0.27207088470458984,0.15743142366409302,0.3935127854347229,0.30620497465133667,0.28771287202835083,-0.00017407993710424817,0.348431795835495,0.2933582365512848,0.36895516514778137,0.13671875,0.003813199931755662,0.024810906499624252,0.0,0.0,1.0,34.451300986111164,1024,0,513 399 18 5,witness+greedy,0.3125,5
mamba2,4,2,1500,mask,0.34560322761535645,0.18582990765571594,0.36328232288360596,0.3604680597782135,0.43644580245018005,-5.3963474713707456e-05,0.33285215497016907,0.30509576201438904,0.3475174605846405,0.216796875,0.004068857524544001,0.029360922053456306,0.0,0.0,1.0,34.28248153813183,1024,0,513 399 18 5,witness+greedy,0.3125,5
deltanet,4,0,1500,mask,0.16443470120429993,0.08267497271299362,0.23199719190597534,0.18243974447250366,0.1886943280696869,-0.0008661903435033518,0.17512191832065582,0.024627752602100372,0.26098668575286865,0.330078125,0.05992823466658592,0.7204363942146301,0.09217225760221481,3.035001277923584,0.845703125,47.406295623630285,1024,0,513 399 18 5,witness+greedy,0.3125,5
deltanet,4,1,1500,mask,0.14681749045848846,0.07618549466133118,0.23661839962005615,0.1906203329563141,0.2140340805053711,-0.0004791270426090022,0.1914697289466858,0.021129218861460686,0.25494781136512756,0.251953125,0.07013563811779022,0.7059741020202637,0.1024073138833046,2.09440279006958,0.8046875,47.58874750696123,1024,0,513 399 18 5,witness+greedy,0.3125,5
deltanet,4,2,1500,mask,0.15101933479309082,0.08451284468173981,0.23201808333396912,0.2062075436115265,0.1427387297153473,-0.00016920546861046688,0.16946426033973694,0.02183333970606327,0.24746626615524292,0.32421875,0.07739189267158508,0.7027232646942139,0.11845025420188904,2.515892267227173,0.80078125,46.92189105972648,1024,0,513 399 18 5,witness+greedy,0.3125,5
mamba2,5,0,1500,mask,0.30450183153152466,0.20947842299938202,0.30385491251945496,0.34470972418785095,0.2953459918498993,-0.00018788173972312315,0.36100631952285767,0.2966228723526001,0.3749229609966278,0.080078125,0.006105966400355101,0.032371923327445984,0.0003941904869861901,0.015271147713065147,0.701171875,34.53603358566761,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
mamba2,5,1,1500,mask,0.28760382533073425,0.21467070281505585,0.3344372808933258,0.3838692307472229,0.3492731750011444,-0.0003910920464807143,0.3753674626350403,0.30360308289527893,0.3910873532295227,0.107421875,0.00399163318797946,0.04733279347419739,0.00010411097900941968,0.00557347247377038,0.685546875,34.432510893791914,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
mamba2,5,2,1500,mask,0.35928288102149963,0.20251861214637756,0.38020995259284973,0.3996621072292328,0.3209291994571686,0.00038062890838304553,0.35399335622787476,0.324954628944397,0.36060893535614014,0.109375,0.006209207698702812,0.04180304706096649,0.00021637605095747858,0.005505239125341177,0.701171875,34.526113690808415,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
deltanet,5,0,1500,mask,0.1618553251028061,0.11008676141500473,0.22328200936317444,0.2109944373369217,0.11008676141500473,-0.00015403782044568423,0.20059335231781006,0.02974529191851616,0.23752251267433167,0.16015625,0.11157642304897308,0.6831719279289246,0.15234792232513428,3.053359270095825,0.701171875,47.231662632897496,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
deltanet,5,1,1500,mask,0.19308294355869293,0.10738928616046906,0.1844794601202011,0.1683965027332306,0.17964254319667816,-0.0006786294408912513,0.1844511330127716,0.028846856206655502,0.218535915017128,0.16015625,0.1048932820558548,0.7042058110237122,0.15293146669864655,1.4434044361114502,0.685546875,47.32601677067578,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
deltanet,5,2,1500,mask,0.17860984802246094,0.11458811908960342,0.20675449073314667,0.17892588675022125,0.1596769392490387,0.00037071121656608226,0.18996724486351013,0.036406081169843674,0.22495122253894806,0.15234375,0.10430428385734558,0.7176311016082764,0.1397169679403305,1.6177692413330078,0.701171875,47.470453703776,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
mamba2,6,0,1500,mask,0.34675464034080505,0.24797466397285461,0.3550263047218323,0.3062922954559326,0.3740699887275696,-0.00017065270151043614,0.3617718815803528,0.307650625705719,0.36855190992355347,0.046875,0.0040757982060313225,0.028537092730402946,1.3822279925079783e-06,0.00025822673342190683,0.908203125,34.82552097924054,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
mamba2,6,1,1500,mask,0.41740497946739197,0.22955790162086487,0.34255024790763855,0.3709741532802582,0.4193970561027527,0.0005148435273143997,0.3576189875602722,0.3649060130119324,0.35681286454200745,0.05859375,0.00563040841370821,0.046477627009153366,8.464534766972065e-05,0.011426716111600399,0.693359375,34.77057410404086,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
mamba2,6,2,1500,mask,0.3971085548400879,0.23187749087810516,0.4988076388835907,0.34729284048080444,0.32721376419067383,0.00014576375286560908,0.3660239577293396,0.2847713232040405,0.37620288133621216,0.0625,0.004776623100042343,0.026976965367794037,2.9267073841765523e-05,0.0030844761058688164,0.6953125,34.7225407063961,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
deltanet,6,0,1500,mask,0.2620927691459656,0.11809869110584259,0.21693891286849976,0.15443769097328186,0.20636853575706482,-0.00020858435288361075,0.2084704339504242,0.028685148805379868,0.23099297285079956,0.109375,0.11419057101011276,0.7445055842399597,0.14571040868759155,1.7467643022537231,0.69140625,47.73177464492619,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
deltanet,6,1,1500,mask,0.2675939202308655,0.12626515328884125,0.21585361659526825,0.23885512351989746,0.22745297849178314,0.00034884377408884765,0.20618551969528198,0.031648050993680954,0.2254944145679474,0.0859375,0.11623845994472504,0.7269036173820496,0.14324074983596802,1.615909457206726,0.693359375,48.10496846027672,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
deltanet,6,2,1500,mask,0.24920836091041565,0.10257600247859955,0.2760810852050781,0.21367591619491577,0.21463251113891602,0.00012783899993667035,0.22141338884830475,0.031769298017024994,0.24517099559307098,0.099609375,0.12400171160697937,0.7204689383506775,0.1706077754497528,2.641014814376831,0.6953125,47.73265010304749,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
