arm,k,seed,steps,rows_mode,loss_final,loss_best,loss_q25,loss_q50,loss_q75,loss_tail_slope,nmse,nmse_answerable,nmse_unanswerable,exact_support_frac,leak_rel,leak_max,influence_mean,influence_max,influence_zero_frac,train_seconds,T,d,cols,source,ceiling_answerable,n_patterns
gated_deltanet,4,1,1500,mask,0.2646790146827698,0.15094035863876343,0.3927838206291199,0.2861632704734802,0.27012860774993896,-0.0002311321946591735,0.31344568729400635,0.2312522828578949,0.34407538175582886,0.1875,0.004307062830775976,0.05614457651972771,3.388526792491575e-09,7.649289557321026e-08,0.8046875,59.80620922148228,1024,0,513 399 18 5,witness+greedy,0.3125,5
gated_deltanet,4,2,1500,mask,0.3454870581626892,0.18554940819740295,0.36358609795570374,0.3612113893032074,0.4361928701400757,-5.472826634135514e-05,0.33276498317718506,0.30497559905052185,0.3474477231502533,0.220703125,0.004297950305044651,0.030919473618268967,0.0,0.0,1.0,55.480796828866005,1024,0,513 399 18 5,witness+greedy,0.3125,5
loglinear,4,0,1500,mask,0.16593308746814728,0.08230206370353699,0.2624090313911438,0.18354184925556183,0.18952691555023193,-0.0008636362105305895,0.1750602424144745,0.025490986183285713,0.2603972852230072,0.330078125,0.05900171026587486,0.705845057964325,0.09102758765220642,3.019137382507324,0.845703125,72.02523732557893,1024,0,513 399 18 5,witness+greedy,0.3125,5
loglinear,4,1,1500,mask,0.14587529003620148,0.07591632008552551,0.2298344075679779,0.18978974223136902,0.21509355306625366,-0.00046477732553005467,0.1915917992591858,0.021836264058947563,0.25485190749168396,0.2265625,0.06903965026140213,0.6975289583206177,0.10191935300827026,2.1194934844970703,0.8046875,72.18867027014494,1024,0,513 399 18 5,witness+greedy,0.3125,5
loglinear,4,2,1500,mask,0.15114352107048035,0.08564292639493942,0.23643064498901367,0.2064850926399231,0.13903170824050903,-0.00015970811595797737,0.16910508275032043,0.02133907936513424,0.24717846512794495,0.3046875,0.07747933268547058,0.7352784872055054,0.11897476017475128,2.6235878467559814,0.80078125,72.21242314577103,1024,0,513 399 18 5,witness+greedy,0.3125,5
gated_deltanet,5,0,1500,mask,0.16153939068317413,0.1114971861243248,0.22347064316272736,0.21223782002925873,0.1114971861243248,-0.00016152100697817927,0.20076364278793335,0.029936151579022408,0.237688347697258,0.169921875,0.11099742352962494,0.701256513595581,0.151930570602417,3.088609218597412,0.701171875,59.987337812781334,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
gated_deltanet,5,1,1500,mask,0.19394247233867645,0.1082589253783226,0.22463226318359375,0.17011518776416779,0.17960558831691742,-0.0006631143834571767,0.18401950597763062,0.027966022491455078,0.2182026505470276,0.171875,0.10527627170085907,0.7017291188240051,0.15353697538375854,1.4430590867996216,0.685546875,60.001106545329094,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
gated_deltanet,5,2,1500,mask,0.17718720436096191,0.11473988741636276,0.22152042388916016,0.1795104444026947,0.16034625470638275,0.0003873012677935504,0.1901421844959259,0.037480857223272324,0.22492113709449768,0.166015625,0.10232239961624146,0.7046586871147156,0.13933217525482178,1.632331132888794,0.701171875,59.81374618038535,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
loglinear,5,0,1500,mask,0.16206368803977966,0.11366837471723557,0.22762326896190643,0.2097567617893219,0.1148558259010315,-0.00016424689011365084,0.20065781474113464,0.030752291902899742,0.23738323152065277,0.17578125,0.10968580842018127,0.6989923119544983,0.15129157900810242,3.097792625427246,0.701171875,72.2169162593782,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
loglinear,5,1,1500,mask,0.1931736171245575,0.10758073627948761,0.18785767257213593,0.17102591693401337,0.1808404177427292,-0.0006918787185978924,0.18419820070266724,0.028408730402588844,0.2183235138654709,0.169921875,0.10337062180042267,0.7053720951080322,0.15396520495414734,1.4593782424926758,0.685546875,72.22093883901834,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
loglinear,5,2,1500,mask,0.1782543957233429,0.11518833786249161,0.23006942868232727,0.17861638963222504,0.15923868119716644,0.00036585255341645774,0.19014987349510193,0.03775348886847496,0.22486849129199982,0.146484375,0.10136586427688599,0.7381536364555359,0.13926754891872406,1.650272250175476,0.701171875,72.19837168604136,1024,0,513 425 365 341 470,witness+greedy,0.1875,6
gated_deltanet,6,0,1500,mask,0.32972413301467896,0.22863039374351501,0.35810959339141846,0.30712026357650757,0.33111944794654846,-9.141687384441522e-05,0.3275827169418335,0.23177100718021393,0.339585542678833,0.05859375,0.01829184591770172,0.6861763596534729,0.011141456663608551,1.0432777404785156,0.69140625,60.174146343022585,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
gated_deltanet,6,1,1500,mask,0.2678189277648926,0.12707743048667908,0.3019593060016632,0.23807373642921448,0.22667813301086426,0.00034065334645326365,0.2063407599925995,0.03081224299967289,0.22575931251049042,0.08984375,0.11611727625131607,0.7232742309570312,0.1438944786787033,1.6078401803970337,0.693359375,57.06996313109994,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
gated_deltanet,6,2,1500,mask,0.24834363162517548,0.10249176621437073,0.4734117388725281,0.21402189135551453,0.2146550714969635,0.00010573618247931758,0.22162079811096191,0.031001873314380646,0.2455005645751953,0.099609375,0.12468256056308746,0.7272065877914429,0.17156091332435608,2.595750570297241,0.6953125,59.89322407543659,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
loglinear,6,0,1500,mask,0.26087650656700134,0.11952708661556244,0.22694727778434753,0.16118626296520233,0.20583359897136688,-0.00021514433553327582,0.2085171937942505,0.02831973135471344,0.23109140992164612,0.09765625,0.11521071195602417,0.7689333558082581,0.1465132236480713,1.6358286142349243,0.69140625,72.10045993328094,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
loglinear,6,1,1500,mask,0.26879391074180603,0.12732790410518646,0.2143450677394867,0.23900946974754333,0.22931209206581116,0.00033375663088396046,0.20633475482463837,0.029948405921459198,0.2258482128381729,0.091796875,0.11760593950748444,0.740487277507782,0.14644169807434082,1.6322333812713623,0.693359375,72.2135675624013,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
loglinear,6,2,1500,mask,0.2490205019712448,0.10325200855731964,0.2757941484451294,0.21355554461479187,0.21495644748210907,0.00011517643371445332,0.22187165915966034,0.030534151941537857,0.24584142863750458,0.103515625,0.1241578459739685,0.7408691048622131,0.17179636657238007,2.9839112758636475,0.6953125,72.26468172296882,1024,0,513 403 156 131 171 6,witness+greedy,0.109375,7
