task,family,width,d,split,cell,n,seeds,mean,std
joint,mamba2,64,2,validation,c32-k16,5,"[123, 1, 2, 3, 4]",20.07802734375,5.909870503760929
joint,mamba2,64,2,validation,c8-k16,5,"[123, 1, 2, 3, 4]",45.06546875,14.415643599237914
joint,mamba2,64,2,validation,macro,5,"[123, 1, 2, 3, 4]",58.24219140625,6.326602711072242
joint,mamba2,64,3,test,c1-k4,5,"[123, 1, 2, 3, 4]",99.7625,0.05994789404140966
joint,mamba2,64,3,test,c16-k16,5,"[123, 1, 2, 3, 4]",31.1398828125,7.133837413075153
joint,mamba2,64,3,test,c2-k8,5,"[123, 1, 2, 3, 4]",96.168125,0.9182187824379793
joint,mamba2,64,3,test,c32-k16,5,"[123, 1, 2, 3, 4]",24.50341796875,2.7643241950361706
joint,mamba2,64,3,test,c8-k16,5,"[123, 1, 2, 3, 4]",49.437421875,7.782978127139178
joint,mamba2,64,3,test,macro,5,"[123, 1, 2, 3, 4]",60.202269531249996,3.1894673057458593
joint,mamba2,64,3,validation,c1-k4,5,"[123, 1, 2, 3, 4]",99.7775,0.05332682251925882
joint,mamba2,64,3,validation,c16-k16,5,"[123, 1, 2, 3, 4]",31.1219921875,7.123740107724734
joint,mamba2,64,3,validation,c2-k8,5,"[123, 1, 2, 3, 4]",96.18,0.920463962493915
joint,mamba2,64,3,validation,c32-k16,5,"[123, 1, 2, 3, 4]",24.47953125,2.735834579754104
joint,mamba2,64,3,validation,c8-k16,5,"[123, 1, 2, 3, 4]",49.451328125,7.967783712285783
joint,mamba2,64,3,validation,macro,5,"[123, 1, 2, 3, 4]",60.2020703125,3.246266470284557
joint,mamba2,64,4,test,c1-k4,5,"[123, 1, 2, 3, 4]",99.45375,0.4888323140403123
joint,mamba2,64,4,test,c16-k16,5,"[123, 1, 2, 3, 4]",40.7080859375,16.759961408847225
joint,mamba2,64,4,test,c2-k8,5,"[123, 1, 2, 3, 4]",87.3825,19.332333041567384
joint,mamba2,64,4,test,c32-k16,5,"[123, 1, 2, 3, 4]",27.68666015625,9.940444206853043
joint,mamba2,64,4,test,c8-k16,5,"[123, 1, 2, 3, 4]",57.0865234375,23.486245860936364
joint,mamba2,64,4,test,macro,5,"[123, 1, 2, 3, 4]",62.463503906250004,13.435071691360474
joint,mamba2,64,4,validation,c1-k4,5,"[123, 1, 2, 3, 4]",99.4875,0.4173015995655878
joint,mamba2,64,4,validation,c16-k16,5,"[123, 1, 2, 3, 4]",40.6611328125,16.764474356807387
joint,mamba2,64,4,validation,c2-k8,5,"[123, 1, 2, 3, 4]",87.34375,19.448859346573833
joint,mamba2,64,4,validation,c32-k16,5,"[123, 1, 2, 3, 4]",27.64046875,9.940173596443564
joint,mamba2,64,4,validation,c8-k16,5,"[123, 1, 2, 3, 4]",57.0246875,23.49920823796579
joint,mamba2,64,4,validation,macro,5,"[123, 1, 2, 3, 4]",62.4315078125,13.459376849586175
joint_loglinear,mamba2,64,0,test,c1-k4,2,"[1, 3]",98.409375,0.278423295092191
joint_loglinear,mamba2,64,0,test,c16-k16,2,"[1, 3]",23.79443359375,12.853184922790705
joint_loglinear,mamba2,64,0,test,c2-k8,2,"[1, 3]",83.0890625,12.177704597247082
joint_loglinear,mamba2,64,0,test,c32-k16,2,"[1, 3]",16.148266601562497,6.139641071823018
