task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,dbl,dbl,1,2,37,37,2048,16384,6656,6784,1.5730403357206115,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,6784,6912,1.6289865164928798,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,6912,7040,1.570633333341967,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7040,7168,1.6100820020276152,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7168,7296,1.5739379645582205,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7296,7424,1.5914795372364519,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7424,7552,1.62777056768131,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7552,7680,1.6159886749494348,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7680,7808,1.612132080819567,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7808,7936,1.6309994945363644,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,7936,8064,1.683982160516819,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8064,8192,1.6033524678991729,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8192,8320,1.6280403649085105,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8320,8448,1.5847742255585584,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8448,8576,1.609974595524109,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8576,8704,1.582256684700605,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8704,8832,1.5650955793821066,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8832,8960,1.6451877768327265,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,8960,9088,1.574133677377139,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9088,9216,1.6095419276404268,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9216,9344,1.5790255453848996,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9344,9472,1.5992292113258513,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9472,9600,1.5583651203640545,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9600,9728,1.5884357129550963,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9728,9856,1.6349327083280427,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9856,9984,1.6553104067926616,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,9984,10112,1.6090710035470783,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,10112,10240,1.5918492506734425,64,6000,2101
