task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,win4,win4,1,2,37,37,2048,16384,4224,4352,1.6115068860682813,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,4352,4480,1.6182063477327926,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,4480,4608,1.559984800222516,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,4608,4736,1.5982533344339371,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,4736,4864,1.5991003997213795,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,4864,4992,1.584435262229054,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,4992,5120,1.5639667310602015,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,5120,5248,1.5566477337805582,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,5248,5376,1.5473772912025683,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,5376,5504,1.5999781576190562,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,5504,5632,1.6011891950631563,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,5632,5760,1.551082567545445,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,5760,5888,1.5669870307832534,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,5888,6016,1.5753138575185117,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6016,6144,1.564066090121361,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6144,6272,1.6028057255785482,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6272,6400,1.5535017776954108,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6400,6528,1.64366433026859,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6528,6656,1.56916020472997,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6656,6784,1.5712640167005876,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6784,6912,1.6095432199613549,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,6912,7040,1.5562837264747358,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7040,7168,1.5961209108704524,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7168,7296,1.5519967233500145,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7296,7424,1.5711419688723005,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7424,7552,1.6165930737294687,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7552,7680,1.6169188193304516,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7680,7808,1.596337027361939,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7808,7936,1.6146835845403804,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,7936,8064,1.6761036679684143,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8064,8192,1.5994725771163554,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8192,8320,1.6085954246169003,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8320,8448,1.5723549495135645,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8448,8576,1.6000391700337495,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8576,8704,1.5619409356118257,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8704,8832,1.537637235368845,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8832,8960,1.606773214056611,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,8960,9088,1.5456999471562902,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9088,9216,1.5773165097903992,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9216,9344,1.555346600730719,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9344,9472,1.5761249972713927,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9472,9600,1.53773725616275,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9600,9728,1.5537911764363534,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9728,9856,1.600410730310803,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9856,9984,1.6278717447026942,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,9984,10112,1.5884254151894632,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,10112,10240,1.5689466667133591,64,6000,2265
