task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,win8,win8,0,2,37,37,2048,16384,6272,6400,3.6520957422428926,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,6400,6528,3.755308719713866,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,6528,6656,3.5245306085692643,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,6656,6784,3.3489268025298884,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,6784,6912,4.040285798165591,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,6912,7040,3.771998381044196,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7040,7168,4.596116749857297,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7168,7296,4.569646164434084,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7296,7424,4.249081118451849,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7424,7552,4.188249767185768,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7552,7680,4.398434744240395,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7680,7808,3.9385320001059836,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7808,7936,4.260301533301608,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,7936,8064,3.994236501523338,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8064,8192,3.7869999466649826,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8192,8320,3.906789630485874,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8320,8448,3.792109951619225,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8448,8576,3.5727322425583914,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8576,8704,3.561270648241278,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8704,8832,4.207492415571529,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8832,8960,4.383382070884592,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,8960,9088,3.9643817630935567,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,9088,9216,3.8629455524965985,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,9216,9344,3.3786092969757946,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,9344,9472,3.6971625617916106,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,9472,9600,3.611852129782924,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,9600,9728,4.16529011554233,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,9728,9856,3.8373335608983012,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,9856,9984,3.9622902679684624,4,60,21
