task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,win4,win4,2,2,23,23,1024,1024,placed,0,0.48822021484375,16384,0.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,1024,placed,256,0.99957275390625,16384,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,1024,placed,510,0.9996337890625,16384,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,2048,uniform,0,0.9259033203125,8192,nan,7000,1658
mqar,win4,win4,2,2,23,23,1024,2048,placed,0,0.4033203125,8192,0.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,2048,placed,256,0.9130859375,8192,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,2048,placed,1024,0.9544677734375,8192,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,2048,placed,1534,0.9931640625,8192,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,4096,uniform,0,0.953125,4096,nan,7000,1658
mqar,win4,win4,2,2,23,23,1024,4096,placed,0,0.358642578125,4096,0.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,4096,placed,256,0.908935546875,4096,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,4096,placed,1024,0.914794921875,4096,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,4096,placed,3072,0.9453125,4096,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,4096,placed,3582,0.986572265625,4096,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,8192,uniform,0,0.962890625,2048,nan,7000,1658
mqar,win4,win4,2,2,23,23,1024,8192,placed,0,0.3037109375,2048,0.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,8192,placed,256,0.91748046875,2048,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,8192,placed,1024,0.91015625,2048,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,8192,placed,3072,0.91796875,2048,1.0,7000,1658
mqar,win4,win4,2,2,23,23,1024,8192,placed,7678,0.982421875,2048,1.0,7000,1658
mqar,win8,win8,2,2,23,23,1024,1024,uniform,0,0.8907470703125,16384,nan,7000,1712
mqar,win8,win8,2,2,23,23,1024,1024,placed,0,0.8482666015625,16384,0.5,7000,1712
mqar,win8,win8,2,2,23,23,1024,1024,placed,256,1.0,16384,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,1024,placed,510,1.0,16384,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,2048,uniform,0,0.97021484375,8192,nan,7000,1712
mqar,win8,win8,2,2,23,23,1024,2048,placed,0,0.8447265625,8192,0.5,7000,1712
mqar,win8,win8,2,2,23,23,1024,2048,placed,256,1.0,8192,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,2048,placed,1024,1.0,8192,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,2048,placed,1534,1.0,8192,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,4096,uniform,0,0.991455078125,4096,nan,7000,1712
mqar,win8,win8,2,2,23,23,1024,4096,placed,0,0.833984375,4096,0.5,7000,1712
mqar,win8,win8,2,2,23,23,1024,4096,placed,256,0.996826171875,4096,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,4096,placed,1024,0.9970703125,4096,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,4096,placed,3072,0.998046875,4096,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,4096,placed,3582,0.99853515625,4096,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,8192,uniform,0,0.96044921875,2048,nan,7000,1712
mqar,win8,win8,2,2,23,23,1024,8192,placed,0,0.7412109375,2048,0.5,7000,1712
mqar,win8,win8,2,2,23,23,1024,8192,placed,256,0.89697265625,2048,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,8192,placed,1024,0.88427734375,2048,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,8192,placed,3072,0.89599609375,2048,1.0,7000,1712
mqar,win8,win8,2,2,23,23,1024,8192,placed,7678,0.90283203125,2048,1.0,7000,1712
