arm,run,step,accuracy,first_half,second_half
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,2000,0.1421,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,2250,0.1606,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,2500,0.1824,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,2750,0.1899,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,3000,0.1917,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,3250,0.2229,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,3500,0.2581,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,3750,0.302,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,4000,0.3586,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,4250,0.4207,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,4500,0.4897,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,4750,0.5298,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,5000,0.5461,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,5250,0.5642,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,5500,0.6196,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,5750,0.6304,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,6000,0.6562,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,6250,0.6799,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,6500,0.6907,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,6750,0.7092,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,7000,0.7214,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,7250,0.7275,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,7500,0.729,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,7750,0.7576,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,8000,0.748,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,8250,0.7625,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,8500,0.7646,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,8750,0.7732,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,9000,0.7744,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,9250,0.7676,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,9500,0.7803,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,9750,0.7747,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,10000,0.7712,,
historical_mamba2,sc4k-tweak-d3-goff-s1,250,0.061,,
historical_mamba2,sc4k-tweak-d3-goff-s1,500,0.0662,,
historical_mamba2,sc4k-tweak-d3-goff-s1,750,0.062,,
historical_mamba2,sc4k-tweak-d3-goff-s1,1000,0.061,,
historical_mamba2,sc4k-tweak-d3-goff-s1,1250,0.0583,,
historical_mamba2,sc4k-tweak-d3-goff-s1,1500,0.0586,,
historical_mamba2,sc4k-tweak-d3-goff-s1,1750,0.063,,
historical_mamba2,sc4k-tweak-d3-goff-s1,2000,0.062,,
historical_mamba2,sc4k-tweak-d3-goff-s1,2250,0.061,,
historical_mamba2,sc4k-tweak-d3-goff-s1,2500,0.0789,,
historical_mamba2,sc4k-tweak-d3-goff-s1,2750,0.113,,
historical_mamba2,sc4k-tweak-d3-goff-s1,3000,0.1262,,
historical_mamba2,sc4k-tweak-d3-goff-s1,3250,0.1321,,
historical_mamba2,sc4k-tweak-d3-goff-s1,3500,0.146,,
historical_mamba2,sc4k-tweak-d3-goff-s1,3750,0.1533,,
historical_mamba2,sc4k-tweak-d3-goff-s1,4000,0.1506,,
historical_mamba2,sc4k-tweak-d3-goff-s1,4250,0.1528,,
historical_mamba2,sc4k-tweak-d3-goff-s1,4500,0.1597,,
historical_mamba2,sc4k-tweak-d3-goff-s1,4750,0.1628,,
historical_mamba2,sc4k-tweak-d3-goff-s1,5000,0.1628,,
historical_mamba2,sc4k-tweak-d3-goff-s1,5250,0.1589,,
historical_mamba2,sc4k-tweak-d3-goff-s1,5500,0.1621,,
